genre,rating
travel,2.0
travel,4.0
travel,3.0
travel,2.0
travel,3.0
travel,2.0
travel,1.0
travel,4.0
travel,1.0
travel,3.0
travel,5.0
mystery,4.0
mystery,1.0
mystery,4.0
mystery,1.0
mystery,4.0
mystery,2.0
mystery,1.0
mystery,1.0
mystery,5.0
mystery,2.0
mystery,3.0
mystery,4.0
mystery,3.0
mystery,1.0
mystery,3.0
mystery,2.0
mystery,3.0
mystery,5.0
mystery,5.0
mystery,4.0
mystery,4.0
mystery,2.0
mystery,5.0
mystery,3.0
mystery,1.0
mystery,3.0
mystery,2.0
mystery,4.0
mystery,5.0
mystery,3.0
mystery,3.0
mystery,1.0
historical-fiction,1.0
historical-fiction,3.0
historical-fiction,5.0
historical-fiction,1.0
historical-fiction,5.0
historical-fiction,4.0
historical-fiction,3.0
historical-fiction,2.0
historical-fiction,4.0
historical-fiction,2.0
historical-fiction,3.0
historical-fiction,1.0
historical-fiction,4.0
historical-fiction,5.0
historical-fiction,1.0
historical-fiction,5.0
historical-fiction,5.0
historical-fiction,2.0
historical-fiction,1.0
historical-fiction,2.0
historical-fiction,5.0
historical-fiction,5.0
historical-fiction,3.0
historical-fiction,3.0
historical-fiction,4.0
historical-fiction,5.0
sequential-art,5.0
sequential-art,1.0
sequential-art,4.0
sequential-art,4.0
sequential-art,2.0
sequential-art,3.0
sequential-art,5.0
sequential-art,1.0
sequential-art,3.0
sequential-art,4.0
sequential-art,1.0
sequential-art,2.0
sequential-art,3.0
sequential-art,2.0
sequential-art,2.0
sequential-art,3.0
sequential-art,2.0
sequential-art,4.0
sequential-art,4.0
sequential-art,4.0
sequential-art,2.0
sequential-art,1.0
sequential-art,4.0
sequential-art,2.0
sequential-art,5.0
sequential-art,4.0
sequential-art,1.0
sequential-art,2.0
sequential-art,5.0
sequential-art,4.0
sequential-art,3.0
sequential-art,2.0
sequential-art,2.0
sequential-art,2.0
sequential-art,5.0
sequential-art,2.0
sequential-art,3.0
sequential-art,2.0
sequential-art,4.0
sequential-art,5.0
sequential-art,1.0
sequential-art,4.0
sequential-art,3.0
sequential-art,1.0
sequential-art,1.0
sequential-art,2.0
sequential-art,4.0
sequential-art,3.0
sequential-art,5.0
sequential-art,5.0
sequential-art,3.0
sequential-art,1.0
sequential-art,3.0
sequential-art,1.0
sequential-art,2.0
sequential-art,1.0
sequential-art,2.0
sequential-art,1.0
sequential-art,3.0
sequential-art,5.0
sequential-art,4.0
sequential-art,2.0
sequential-art,3.0
sequential-art,3.0
sequential-art,3.0
sequential-art,1.0
sequential-art,5.0
sequential-art,4.0
